method_id,family,source_ref,architecture,state_boundary,spatial_path,global_path,readout,training,hard_runtime,status,conclusion,evidence
full_discrete_a8,IntegerBaseline,325f249,"Wmag7/A8 shift-add ViT with exact integer attention",A8 code plus integer exponent,optional depthwise shift-add,XNOR-popcount stable Top-K plus integer gap-weighted V,A16 integer classifier,QAT shadows with exact hard carrier,operator-audited bool/int,reference,"strict 76.10% accuracy carrier and integer baseline; not the logic-native method because dense learned Wmag7 projections dominate capacity",../docs/repro/full_discrete_d12_strict_20260723/README.md
scalelogic_d12,FullDiscrete,325f249,"d12/e384 Wmag7/A8 ScaleLogic ViT",A8 code plus integer exponent,optional early depthwise shift-add,XNOR-popcount stable Top-K plus integer gap-weighted V,A16 integer classifier,QAT shadows with exact hard carrier,operator-audited prefix only,rejected,"more parameters and depth regress under the matched 50k budget",../docs/repro/scalelogic_50k_complete_20260723/README.md
logic_tree_local,FullDiscrete,376aba4,"shared 3x3 seven-gate bit-sliced logic tree",A8 bitplanes,shared local Boolean tree,base integer attention,A16 integer classifier,hard forward with soft derivative,bool/int payload,rejected,"hard LUTs stayed identity; measured change was surrogate or seed noise",../vit_lgn/full_discrete/README.md
fixed_hadamard_global,FullDiscrete,cae858e,"integer Walsh-Hadamard global mixer",A8 code plus exponent,optional local path,fixed butterfly global mixer,A16 integer classifier,QAT exact integer hard path,bool/int payload,rejected,"all matched 1k variants underperform content-dependent Top-K",../docs/reports/logic_hadamard_review_20260716.md
global_a8_lut_tree,FullDiscrete,cae858e,"six-stage A8-by-A8 global ROM tree",A8 code plus exponent,none,shared nonlinear ROM reduction tree,A16 integer classifier,hard lookup with interpolated training surrogate,bool/int payload,rejected,"72 MiB payload is sample-inefficient and loses the matched 1k screen",../docs/reports/global_lut_tree_review_20260716.md
attention_clean_ceiling,ViT-LGN,398b041,"real-valued ViT with hard XNOR Top-K selector",real-valued,real patch projection,hard selector with real V/MLP,real classifier,long-horizon augmented training,contains real-valued operators,external_ceiling,"78.93% CIFAR test shows training budget and inductive bias ceiling only",../docs/repro/scalelogic_50k_complete_20260723/README.md
vit_lgn_combine_stage598,ViT-LGN,85dfd45,"ConvTree hard patch plus donor ViT-LGN",binary patch then floating carrier,ConvTree patch,hard selector donor path,GroupSum and real blend,output-level hard-forward/full-soft-backward STE,contains real-valued operators,screen,"reproducible hard-patch baseline; full model is not no-real-value compliant",https://github.com/Vector-GitHub/ViT-LGN/commit/85dfd45865a3679c2f8c59ab09ef95337a0da4d4
vit_lgn_width_expansion,ViT-LGN,a925376,"multiplied embed/head/state/pass widths",binary patch bottleneck then floating carrier,ConvTree patch,direct stable-intended Top-K donor path,GroupSum,midpoint selector surrogate and gradient-only residual,contains real-valued operators,unvalidated,"mechanically reasonable width ablation but expands after an 18-bit patch bottleneck",https://github.com/Vector-GitHub/ViT-LGN/commit/a9253762b39b2e37a4ad7300a1cc9f7f0066e6e7
bitstate_count_message_v0,BitState,working-tree,"persistent Boolean tokens with multi-threshold Top-K count message",bool,local two-input gate blocks,XNOR-popcount Top-K plus bit-sliced count thresholds,integer GroupSum,soft warmup then hard-ST,operator-audited bool/int,rejected,"active count encoding changed 12.30% of messages but mean best-validation hard accuracy fell 0.05 pp; 92.98% of merge lanes remained state identity",../docs/repro/bitstate_count_message_screen_20260723/README.md
bitplane_lut_argmax,Hard-LGN,working-tree,"512 protected input planes plus A8-grouped 4-input LUT vote planes with learned candidate wiring",eight Boolean planes per state symbol,none,protected raw bypass plus state-preserving LUT blocks,fixed interleaved vote GroupSum,block-wise hard-ST then direct argmax,bool LUT/wiring plus integer GroupSum,candidate,"current strongest logic-native digits candidate: doubling learned votes improves test hard accuracy by 4.44 pp mean with 3/3 validation wins and zero inactive vote planes",../docs/repro/bitplane_lut_digits_v2_20260724/README.md
bitplane_lut_spatial_argmax,Hard-LGN,working-tree,"24,576 protected CIFAR A8 bit planes plus class-vote 4-input LUT planes with fixed image-local candidate pools",eight Boolean planes per raw state symbol,integer-only crop/flip then protected raw planes,image-local raw candidates plus same-class vote recurrence,fixed interleaved integer GroupSum,block-wise hard-ST then direct argmax and hard freeze,bool LUT/wiring plus integer GroupSum,candidate,"pre-registered CIFAR-100 width/depth screen; promotion requires hard validation gains rather than a gap-only result",../docs/protocols/bitplane_lut_cifar100_scale_v1_20260724.md
bitplane_lut_sequence_mixed_argmax,Hard-LGN,working-tree,"512 protected context planes plus character-vote 4-input LUT planes with deterministic global candidate pools",eight Boolean planes per character ID,none,protected causal context plus fixed global candidate pools,fixed interleaved integer GroupSum,block-wise hard-ST then direct argmax and hard freeze,bool LUT/wiring plus integer GroupSum,screen,"matched Tiny Shakespeare baseline reaches 25.82% validation hard accuracy; it is a rolling Boolean context model rather than a Transformer",../docs/repro/bitplane_lut_shakespeare_char_20260724/README.md
bitplane_lut_sequence_causal_argmax,Hard-LGN,962ffca,"512 protected context planes plus character-vote 4-input LUT planes with recent-history and same-class recurrent candidates",eight Boolean planes per character ID,none,protected causal context plus recent-position and same-class vote routing,fixed interleaved integer GroupSum,block-wise hard-ST then direct argmax and exact hard-prefix continuation,bool LUT/wiring plus integer GroupSum,candidate,"v64-d2 reaches 36.275% validation hard accuracy and improves 2.455 pp over v32-d2 at 2x gates; strict execution has zero floating tensors, but unused gates rise 1.442 pp and accuracy remains 1.940 pp below trigram",../docs/repro/bitplane_lut_shakespeare_char_20260724/README.md
bitplane_lut_refit,Hard-LGN,working-tree,"512 protected input planes plus A8-grouped 4-input LUT vote planes with learned candidate wiring",eight Boolean planes per state symbol,none,protected raw bypass plus state-preserving LUT blocks,fixed interleaved vote GroupSum,block-wise hard-ST then class-balanced empirical truth-table refit/freeze,bool LUT/wiring plus integer GroupSum,rejected,"independent empirical truth refit lowers validation hard accuracy by 1.67 pp mean versus argmax across six paired width/seed cases; lower mismatch does not compensate for task-margin loss",../docs/repro/bitplane_lut_digits_v2_20260724/README.md
bitplane_lut_wiring_refit,Hard-LGN,working-tree,"512 protected input planes plus A8-grouped 4-input LUT vote planes with learned candidate wiring",eight Boolean planes per state symbol,none,protected raw bypass plus state-preserving LUT blocks,fixed interleaved vote GroupSum,block-wise hard-ST then greedy discrete wiring/truth refit/freeze,bool LUT/wiring plus integer GroupSum,rejected,"training changes 65.27%-73.67% of wiring from default but coordinate-greedy post-refit changes 0%; results exactly match rejected truth refit",../docs/repro/bitplane_lut_digits_v2_20260724/README.md
bitplane_lut_abc_dc2_k4,BooleanSynthesis,working-tree,"ABC strash/dc2 optimization and K=4 remapping of the trained two-block LUT/wiring network",Boolean raw input to Boolean vote output,none,ABC-optimized combinational DAG,GroupSum excluded from synthesis scope,post-training logic optimization with no learned parameters,ABC-mapped Boolean BLIF with CEC,screen,"truth tables are synthesizable but only weakly K4-compressible: 2.7%-6.9% fewer LUTs at depth 3; all 18 source/optimized networks pass CEC",../docs/repro/bitplane_lut_abc_20260724/README.md
